City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Weather
103,Yellowknife,CA,62.456,-114.3525,62.33,67,75,1.01,broken clouds
104,Hasaki,JP,35.7333,140.8333,72.28,78,96,10.51,overcast clouds
105,Sinnamary,GF,5.3833,-52.95,77.4,90,100,9.73,overcast clouds
106,Bohdan,UA,48.0412,24.3522,48.97,91,71,1.36,broken clouds
107,Ascope,PE,-7.7144,-79.1078,63.73,69,100,4.99,overcast clouds
108,Thaton,MM,16.9206,97.3714,82.85,79,100,3.38,light rain
109,Saint-Augustin,CA,51.226,-58.6502,55.87,85,92,8.03,overcast clouds
110,Viedma,AR,-40.8135,-62.9967,50.11,58,68,7.49,broken clouds
111,Waddan,LY,29.1614,16.139,72.54,34,10,7.7,clear sky
112,Thompson,CA,55.7435,-97.8558,57.36,82,75,10.36,broken clouds
113,Leon Valley,US,29.4952,-98.6186,80.98,69,49,1.01,scattered clouds
114,Flin Flon,CA,54.7682,-101.865,76.55,28,79,8.1,broken clouds
115,Pasaje,EC,-3.3333,-79.8167,74.53,93,98,2.37,overcast clouds
116,Port Alfred,ZA,-33.5906,26.891,53.94,71,0,7.81,clear sky
117,Mount Darwin,ZW,-16.7725,31.5838,56.37,58,100,8.32,overcast clouds
118,Hilo,US,19.7297,-155.09,85.28,76,90,3.0,overcast clouds
119,Bluff,NZ,-46.6,168.3333,55.2,68,100,16.8,overcast clouds
120,Cabedelo,BR,-6.9811,-34.8339,75.87,80,27,10.22,scattered clouds
121,Chokurdakh,RU,70.6333,147.9167,66.31,53,100,8.52,overcast clouds
122,Luderitz,NA,-26.6481,15.1594,69.08,28,0,22.1,clear sky
123,Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,74.52,88,17,1.01,few clouds
124,Barrow,US,71.2906,-156.7887,33.82,86,90,11.5,mist
125,Srednekolymsk,RU,67.45,153.6833,75.33,21,100,23.33,overcast clouds
126,Bambous Virieux,MU,-20.3428,57.7575,73.22,100,75,18.7,moderate rain
127,Torbay,CA,47.6666,-52.7314,55.67,97,90,21.85,overcast clouds
128,Parlier,US,36.6116,-119.5271,103.23,21,0,11.86,clear sky
129,Seymchan,RU,62.8833,152.4333,60.67,37,6,10.16,clear sky
130,Georgetown,MY,5.4112,100.3354,83.89,83,20,1.01,few clouds
131,Ponta Do Sol,PT,32.6667,-17.1,66.0,70,22,6.93,few clouds
132,Arraial Do Cabo,BR,-22.9661,-42.0278,73.53,87,1,15.32,clear sky
133,Kindu,CD,-2.95,25.95,69.64,83,27,0.04,scattered clouds
134,Asau,RO,46.4333,26.4,56.75,77,61,5.26,broken clouds
135,Port Moresby,PG,-9.4431,147.1797,80.02,83,40,11.5,haze
136,Coruripe,BR,-10.1256,-36.1756,75.33,84,0,8.5,clear sky
137,Vanimo,PG,-2.6741,141.3028,76.91,93,100,5.48,overcast clouds
138,Mar Del Plata,AR,-38.0023,-57.5575,56.08,87,100,1.01,overcast clouds
139,Huescar,ES,37.811,-2.5412,63.95,80,100,4.68,overcast clouds
140,Carnarvon,AU,-24.8667,113.6333,55.47,82,0,8.05,clear sky
141,Sitka,US,57.0531,-135.33,49.89,83,100,4.0,overcast clouds
142,Port Arthur,CN,38.8,121.2667,79.02,64,0,13.62,clear sky
143,Bilma,NE,18.6853,12.9164,91.89,14,0,4.97,clear sky
144,Pacific Grove,US,36.6177,-121.9166,81.07,82,27,5.99,scattered clouds
145,Carbonia,IT,39.1672,8.5222,70.99,78,100,0.56,overcast clouds
146,Bud,US,39.447,-86.1758,79.14,54,92,5.55,overcast clouds
147,Martapura,ID,-3.4167,114.85,84.29,79,18,2.82,few clouds
148,Alta Floresta,BR,-9.8756,-56.0861,73.06,58,100,1.39,overcast clouds
149,Rabinal,GT,15.1,-90.45,70.36,89,63,3.89,broken clouds
150,Razole,IN,16.4833,81.8333,82.69,74,33,4.05,scattered clouds
151,Shu,KZ,43.5983,73.7614,72.23,37,80,6.4,broken clouds
152,Jurm,AF,36.8648,70.8342,70.27,44,18,2.21,few clouds
153,Nuuk,GL,64.1835,-51.7216,38.88,93,100,8.01,light rain
154,Inhambane,MZ,-23.865,35.3833,64.02,79,84,13.49,light rain
155,Sao Joao Da Barra,BR,-21.6403,-41.0511,72.7,86,0,6.87,clear sky
156,Dunedin,NZ,-45.8742,170.5036,53.8,57,100,10.0,overcast clouds
157,Yar-Sale,RU,66.8333,70.8333,51.35,61,100,20.85,overcast clouds
158,Diffa,NE,13.3154,12.6113,81.46,48,93,7.45,overcast clouds
159,Clyde River,CA,70.4692,-68.5914,30.43,93,90,6.91,overcast clouds
160,Esperance,AU,-33.8667,121.9,53.44,65,5,14.29,clear sky
161,Catuday,PH,16.2923,119.8062,84.34,74,58,11.59,broken clouds
162,San Patricio,US,28.017,-97.5169,82.49,82,12,7.85,few clouds
163,Te Anau,NZ,-45.4167,167.7167,54.97,80,90,9.82,overcast clouds
164,Poltavka,RU,54.3663,71.7632,44.83,56,0,9.15,clear sky
165,Yuncheng,CN,35.0231,110.9928,82.44,18,0,5.39,clear sky
166,Ustrzyki Dolne,PL,49.4304,22.5938,57.13,100,100,4.05,overcast clouds
167,Canora,CA,51.6333,-102.4343,84.22,44,0,6.22,clear sky
168,Daru,PG,-9.0763,143.2092,80.46,73,100,11.92,overcast clouds
169,Fort Morgan,US,40.2503,-103.8,83.8,26,1,8.05,clear sky
170,Creel,MX,27.75,-107.6333,67.78,29,100,7.45,overcast clouds
171,Deputatskiy,RU,69.3,139.9,74.98,27,100,23.42,overcast clouds
172,Salalah,OM,17.0151,54.0924,78.26,80,100,1.54,overcast clouds
173,Alvdal,NO,62.1077,10.6307,48.04,75,80,2.04,broken clouds
174,Nanortalik,GL,60.1432,-45.2371,37.85,84,100,8.9,overcast clouds
175,Constantine,DZ,36.365,6.6147,67.41,82,75,3.44,broken clouds
176,Yilan,TW,24.757,121.753,84.06,92,100,4.94,overcast clouds
177,Wajir,KE,1.7471,40.0573,75.9,67,100,12.68,overcast clouds
178,Lebu,CL,-37.6167,-73.65,50.31,84,3,4.52,clear sky
179,La Paz,BO,-16.5,-68.15,48.18,70,75,5.75,light rain
180,Vardo,NO,70.3705,31.1107,44.22,94,97,7.36,overcast clouds
181,West Bay,KY,19.3667,-81.4167,84.27,79,20,3.0,few clouds
182,Kralendijk,BQ,12.15,-68.2667,80.38,87,100,24.65,overcast clouds
183,Upernavik,GL,72.7868,-56.1549,31.75,76,0,11.25,clear sky
184,Kahramanmaras,TR,38.0,37.0,49.69,69,0,5.53,clear sky
185,Denpasar,ID,-8.65,115.2167,82.06,89,20,6.35,few clouds
186,Ancud,CL,-41.8697,-73.8203,47.23,81,11,9.73,light rain
187,Lompoc,US,34.6391,-120.4579,79.12,88,90,9.42,overcast clouds
188,Lanzhou,CN,36.0564,103.7922,65.48,21,5,5.06,clear sky
189,Kalach-Na-Donu,RU,48.691,43.5264,56.52,85,100,6.44,overcast clouds
190,Tilichiki,RU,60.4667,166.1,47.5,73,100,4.59,overcast clouds
191,Victoria,HK,22.2855,114.1577,82.26,82,100,5.99,overcast clouds
192,College,US,64.8569,-147.8028,70.59,45,75,1.01,broken clouds
193,Kirakira,SB,-10.4544,161.9205,84.85,67,100,6.26,overcast clouds
194,Bengkulu,ID,-3.8004,102.2655,75.11,97,100,10.22,light rain
195,Liuzhou,CN,24.3126,109.3892,74.08,71,6,4.65,clear sky
196,San Jeronimo,PE,-11.9472,-75.2829,50.58,81,94,1.59,overcast clouds
197,Lianzhou,CN,24.7811,112.3825,74.05,65,36,2.8,scattered clouds
198,Ushtobe,KZ,45.2514,77.9838,64.38,64,100,16.42,overcast clouds
199,Roman,RO,46.9167,26.9167,62.62,74,88,3.0,overcast clouds
200,Tieli,CN,46.95,128.05,56.91,78,97,5.37,overcast clouds
201,Mamontovo,RU,52.7055,81.6244,41.61,94,100,19.75,light rain
202,East London,ZA,-33.0153,27.9116,54.14,56,4,7.11,clear sky
203,Kodinsk,RU,58.6881,99.1844,50.4,74,100,8.08,overcast clouds
204,Vilhena,BR,-12.7406,-60.1458,70.0,59,100,3.06,overcast clouds
205,Cascais,PT,38.6979,-9.4215,60.62,74,10,11.01,clear sky
206,Balikpapan,ID,-1.2675,116.8289,85.19,84,20,9.22,few clouds
207,Sarkand,KZ,45.41,79.9186,64.42,62,38,5.41,scattered clouds
208,Quartucciu,IT,39.2519,9.1794,72.0,64,0,6.69,light rain
209,Kaitangata,NZ,-46.2817,169.8464,56.93,62,100,8.3,light rain
210,Faanui,PF,-16.4833,-151.75,79.86,80,39,10.94,moderate rain
211,Abu Dhabi,AE,24.4667,54.3667,87.82,84,20,2.8,few clouds
212,Bethel,US,41.3712,-73.414,69.91,88,34,1.77,scattered clouds
213,Hobart,AU,-42.8794,147.3294,53.22,62,75,5.01,broken clouds
214,Cap Malheureux,MU,-19.9842,57.6142,73.47,89,9,4.0,light rain
215,Bilibino,RU,68.0546,166.4372,65.01,39,100,14.07,overcast clouds
216,Baykit,RU,61.67,96.37,45.68,53,10,6.11,clear sky
217,Harnosand,SE,62.6323,17.9379,52.0,76,100,5.03,overcast clouds
218,Port Lincoln,AU,-34.7333,135.8667,62.02,74,100,16.02,overcast clouds
219,Zyryanka,RU,65.75,150.85,73.35,25,66,25.64,broken clouds
220,La Union,PE,-5.4,-80.75,71.42,64,31,16.4,scattered clouds
221,La Rioja,ES,42.25,-2.5,48.49,89,92,1.81,overcast clouds
222,Saint-Paul,RE,-21.0096,55.2707,71.71,92,0,1.99,clear sky
223,Bundaberg,AU,-24.85,152.35,64.69,52,0,10.36,clear sky
224,San Policarpo,PH,12.1791,125.5072,80.24,82,98,3.62,overcast clouds
225,Pekan,MY,3.4836,103.3996,78.91,88,100,5.39,overcast clouds
226,Amasya,TR,40.6667,35.8333,55.08,87,84,3.56,broken clouds
227,Batagay-Alyta,RU,67.8006,130.4114,73.26,32,100,25.46,overcast clouds
228,San Cristobal,VE,7.7669,-72.225,73.58,96,100,3.02,overcast clouds
229,Lagoa,PT,39.05,-27.9833,62.44,89,94,10.78,overcast clouds
230,Honningsvag,NO,70.9821,25.9704,43.43,93,100,13.65,overcast clouds
231,Koumac,NC,-20.5667,164.2833,78.35,61,82,6.15,broken clouds
232,Vostok,RU,46.4856,135.8833,55.26,81,98,7.78,overcast clouds
233,Maltahohe,NA,-24.8333,16.9833,46.35,45,0,11.56,clear sky
234,Hithadhoo,MV,-0.6,73.0833,82.15,78,100,20.71,moderate rain
235,Cabra,ES,37.4725,-4.4421,69.91,72,4,4.65,clear sky
236,Bonthe,SL,7.5264,-12.505,80.22,82,100,6.35,overcast clouds
237,Aklavik,CA,68.2191,-135.0107,43.63,91,100,15.73,overcast clouds
238,Norman Wells,CA,65.282,-126.8329,62.64,45,75,12.66,broken clouds
239,Hoshiarpur,IN,31.5322,75.9172,83.71,39,57,5.06,broken clouds
240,Megion,RU,61.0296,76.1136,48.22,61,100,9.66,overcast clouds
241,Harrison,US,30.4091,-89.0436,78.06,87,89,3.8,overcast clouds
242,Karratha,AU,-20.7377,116.8463,72.27,49,10,17.74,clear sky
243,Effingham,US,32.3669,-81.3332,79.84,88,100,6.67,overcast clouds
244,Les Cayes,HT,18.2,-73.75,78.78,81,98,5.95,overcast clouds
245,Vitry-Le-Francois,FR,48.7333,4.5833,62.08,91,100,6.96,overcast clouds
246,Najran,SA,17.4924,44.1277,74.05,16,0,4.43,clear sky
