City_ID,City,Country,Max Temp,Current Weather,Lat,Lng,Hotel Name
168,Daru,PG,80.46,overcast clouds,-9.0763,143.2092,Daru Lodge
169,Fort Morgan,US,83.8,clear sky,40.2503,-103.8,Hampton Inn Fort Morgan
172,Salalah,OM,78.26,overcast clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
176,Yilan,TW,84.06,overcast clouds,24.757,121.753,Dar Chen Hotel
177,Wajir,KE,75.9,overcast clouds,1.7471,40.0573,Al-bustan Hotel And Restaurant.
181,West Bay,KY,84.27,few clouds,19.3667,-81.4167,Calypso Cove
182,Kralendijk,BQ,80.38,overcast clouds,12.15,-68.2667,Divi Flamingo Beach Resort & Casino
185,Denpasar,ID,82.06,few clouds,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
187,Lompoc,US,79.12,overcast clouds,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
191,Victoria,HK,82.26,overcast clouds,22.2855,114.1577,Mini Hotel Central
193,Kirakira,SB,84.85,overcast clouds,-10.4544,161.9205,SanBiz Lodge
194,Bengkulu,ID,75.11,light rain,-3.8004,102.2655,Grage Hotel Bengkulu
206,Balikpapan,ID,85.19,few clouds,-1.2675,116.8289,ibis Balikpapan
210,Faanui,PF,79.86,moderate rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
211,Abu Dhabi,AE,87.82,few clouds,24.4667,54.3667,Ramee Garden Hotel Apartments
224,San Policarpo,PH,80.24,overcast clouds,12.1791,125.5072,JM Lodge
225,Pekan,MY,78.91,overcast clouds,3.4836,103.3996,Pekan Budget Hotel
231,Koumac,NC,78.35,broken clouds,-20.5667,164.2833,Le Monitel
234,Hithadhoo,MV,82.15,moderate rain,-0.6,73.0833,Scoop Guest House
236,Bonthe,SL,80.22,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
239,Hoshiarpur,IN,83.71,broken clouds,31.5322,75.9172,Hotel Fine Dining
241,Harrison,US,78.06,overcast clouds,30.4091,-89.0436,Residence Inn by Marriott Gulfport-Biloxi Airport
243,Effingham,US,79.84,overcast clouds,32.3669,-81.3332,Elizabeth Hobbs
244,Les Cayes,HT,78.78,overcast clouds,18.2,-73.75,Villa Orphee
247,Mitchell,US,82.81,clear sky,43.7094,-98.0298,Kelly Inn & Suites
248,Dinajpur,BD,88.72,clear sky,25.6272,88.6386,Hotel Sahara
255,Isla Vista,US,82.76,clear sky,34.4133,-119.861,Best Western Plus South Coast Inn
256,Loa Janan,ID,83.59,scattered clouds,-0.583,117.095,Pondok hijau 2A
257,Bathsheba,BB,81.21,scattered clouds,13.2167,-59.5167,Atlantis Hotel
265,Dingle,PH,83.34,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
267,Padang,ID,75.25,overcast clouds,-0.9492,100.3543,Mercure Padang
270,Trairi,BR,77.27,clear sky,-3.2778,-39.2689,janelas do mar
275,Zaraza,VE,75.27,overcast clouds,9.3503,-65.3245,Hotel Zaraza
276,Hobyo,SO,77.95,clear sky,5.3505,48.5268,Halane Hotel and Restaurent
277,Dakar,SN,76.08,clear sky,14.6937,-17.4441,Redface Studios Meublés
279,Port Blair,IN,80.64,broken clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
288,Santa Cruz Cabralia,BR,77.23,scattered clouds,-16.2781,-39.0247,Portobali Hotel
291,Kudus,ID,83.98,clear sky,-6.8048,110.8405,@HOM Hotel by Horison
292,Myitkyina,MM,77.65,few clouds,25.3833,97.4,Shwe Phyu Hotel
293,Natal,BR,77.22,few clouds,-5.795,-35.2094,Villa Park Hotel | Natal
296,Grand-Lahou,CI,78.84,overcast clouds,5.1367,-5.0242,Hotel Beatitude de Grand Lahou
299,Bardstown,US,79.74,clear sky,37.8092,-85.4669,Hampton Inn Bardstown
302,Beyneu,KZ,75.67,overcast clouds,45.3167,55.2,NUR
303,Mecca,SA,81.14,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
304,Carutapera,BR,77.09,clear sky,-1.195,-46.02,Lidera
306,Huai Thalaeng,TH,88.27,overcast clouds,14.997,102.6475,รีสอร์ทฟิวแอนทิว
313,Manokwari,ID,81.68,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
314,Komsomolskiy,UZ,76.42,clear sky,40.4272,71.7189,Ikathouse
315,Pingliang,CN,78.03,clear sky,35.5392,106.6861,North Gate Hostel
317,La Ronge,CA,77.25,scattered clouds,55.1001,-105.2842,Northland Motor Hotel
319,Hirara,JP,84.47,moderate rain,24.8,125.2833,Hotel Atoll Emerald Miyakojima
322,Matara,LK,78.12,light rain,5.9485,80.5353,Amaloh Boutique Resort
324,Shimoda,JP,76.15,clear sky,34.6667,138.95,Shimoda Tokyu Hotel
325,Bandarbeyla,SO,79.0,overcast clouds,9.4942,50.8122,JABIR HOTEL
330,Bridgetown,BB,81.09,scattered clouds,13.1,-59.6167,Hilton Barbados Resort
335,Ravar,IR,81.82,clear sky,31.2656,56.8055,computertik
338,Nabire,ID,83.46,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
342,Dzilam Gonzalez,MX,83.86,overcast clouds,21.2833,-88.9333,posadas
343,Labuan,MY,84.56,scattered clouds,5.2767,115.2417,Tiara Labuan Hotel
344,Kalmunai,LK,78.31,overcast clouds,7.4167,81.8167,VS Villa
345,Jennings,US,82.22,clear sky,38.7192,-90.2604,First Western Inn
350,Urumqi,CN,76.15,clear sky,43.801,87.6005,Hua Ling Grand Hotel Urumqi
356,Semporna,MY,84.4,scattered clouds,4.4818,118.6112,"Han Palace Hotel, Semporna, Sabah."
357,Manggar,ID,84.87,clear sky,-2.8833,108.2667,Guest Hotel
358,Romitan,UZ,76.95,clear sky,39.9343,64.3814,Hotel Temur
364,New Albany,US,78.28,broken clouds,38.2856,-85.8241,Hampton Inn New Albany Louisville West
367,Bubaque,GW,79.48,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
370,Wilmington,US,75.99,scattered clouds,34.2257,-77.9447,"Hotel Ballast Wilmington, Tapestry Collection by Hilton"
374,Pemangkat,ID,82.42,few clouds,1.1667,108.9667,Ramah Kost KITA
378,San Miguel,SV,80.02,broken clouds,13.4833,-88.1833,Hotel Tropico Inn San Miguel
379,Warrensburg,US,80.69,clear sky,38.7628,-93.7361,Comfort Inn Warrensburg Station
380,Partur,IN,76.51,overcast clouds,19.6,76.2167,Prasanna Deshpande
384,Hamilton,US,79.57,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
389,San Alberto,CO,77.65,overcast clouds,7.7611,-73.3922,Hotel San Alberto Plaza
395,Dakoro,NE,87.49,clear sky,14.5106,6.765,Shagon mai liverpool
397,Kahului,US,80.83,overcast clouds,20.8947,-156.47,Maui Seaside Hotel
399,Puerto Triunfo,CO,75.99,moderate rain,5.8726,-74.6403,Hotel el Mirador
400,Farmington,US,88.48,clear sky,36.7281,-108.2187,Courtyard by Marriott Farmington
402,Rafaela,AR,75.0,overcast clouds,-31.2503,-61.4867,Parra Hotel & Suites
404,Hong Gai,VN,80.51,few clouds,20.956,107.0946,Hạ Long DC Hotel
408,Kattivakkam,IN,84.07,few clouds,13.2167,80.3167,Raj's villa
411,Crestview,US,77.31,broken clouds,30.7621,-86.5705,"Holiday Inn Express & Suites Crestview South I-10, an IHG Hotel"
418,Sandakan,MY,83.88,scattered clouds,5.8402,118.1179,Hotel Sandakan
419,Hami,CN,84.07,overcast clouds,42.8,93.45,Laoyutang Resort
423,San Jose,US,84.7,few clouds,37.3394,-121.895,The Westin San Jose
428,Monte Alegre,BR,75.29,broken clouds,-2.0078,-54.0692,Hotel Shekinah
433,Touros,BR,76.1,clear sky,-5.1989,-35.4608,INN NEW HORIZON
436,Natitingou,BJ,77.05,overcast clouds,10.3042,1.3796,Auberge Centrale
440,Conceicao Do Araguaia,BR,80.73,clear sky,-8.2578,-49.2647,Tarumã Tropical Hotel
446,Axim,GH,78.82,light rain,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
453,Umm Lajj,SA,80.31,clear sky,25.0213,37.2685,Moon light Furnished Units
457,Bogo,PH,79.61,overcast clouds,11.0517,124.0055,Acrige Apartelle 2 pax Twin @ heart of Bogo City
458,Guanica,PR,80.98,overcast clouds,17.9716,-66.908,Copamarina Beach Resort & Spa
462,Wanning,CN,82.35,broken clouds,18.8003,110.3967,Paradise Hotel
465,Hilton Head Island,US,79.99,light intensity drizzle,32.2163,-80.7526,Disney’s Hilton Head Island Resort
469,Fare,PF,81.3,broken clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
471,Korla,CN,79.68,overcast clouds,41.7597,86.1469,Gulisitan Hotel
472,Abu Zabad,SD,80.94,few clouds,12.35,29.25,حامد محمد نور
475,Manicore,BR,80.28,overcast clouds,-5.8092,-61.3003,Hotel Durval
476,Kavaratti,IN,82.51,light rain,10.5669,72.642,Hotels in Lakshadweep Islands
477,Bireun,ID,78.12,overcast clouds,5.203,96.7009,Rumah Bp.AR. ISMAIL
480,Praia,CV,75.74,few clouds,14.9215,-23.5087,LT Aparthotel
481,Muli,MV,83.34,overcast clouds,2.9167,73.5667,Medhufushi Island Resort
491,Panaba,MX,84.15,scattered clouds,21.2833,-88.2667,Posada rosario
495,Tura,IN,77.5,few clouds,25.5198,90.2201,Hotel RIKMAN Continental
503,Cardston,CA,81.7,scattered clouds,49.2,-113.3019,Flamingo Motel
506,Beaufort,MY,84.36,scattered clouds,5.3473,115.7455,The Gem Hotel Beaufort
508,Huaiyin,CN,80.58,clear sky,33.5886,119.0192,锦江之星
509,Salina,US,77.63,clear sky,38.8403,-97.6114,"Holiday Inn Express & Suites Salina, an IHG Hotel"
510,Sakakah,SA,81.97,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
512,Tautira,PF,84.22,few clouds,-17.7333,-149.15,Pension Oaoa
515,Tomatlan,MX,86.9,overcast clouds,19.9333,-105.25,Norma franco
517,Velingara,SN,83.84,broken clouds,13.15,-14.1167,Hotel Najla
