City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
143,Ventspils,57.3894,21.5606,51.73,93,0,0.0,LV,2021-06-03 23:00:15
144,Saint-Louis,16.3333,-15.0,84.76,35,79,15.5,SN,2021-06-03 23:00:15
145,Beira,-19.8436,34.8389,66.6,61,0,10.54,MZ,2021-06-03 23:00:16
146,Jalu,29.0331,21.5482,83.62,24,9,9.31,LY,2021-06-03 23:00:16
147,Victoria,22.2855,114.1577,85.96,88,100,4.0,HK,2021-06-03 22:55:52
148,Pevek,69.7008,170.3133,34.86,73,44,1.28,RU,2021-06-03 23:00:17
149,Plettenberg Bay,-34.0527,23.3716,55.08,64,46,2.35,ZA,2021-06-03 23:00:17
150,Iquitos,-3.7481,-73.2472,77.76,85,22,1.52,PE,2021-06-03 23:00:17
151,Port Elizabeth,-33.918,25.5701,46.69,87,0,4.61,ZA,2021-06-03 22:57:56
152,Souillac,-20.5167,57.5167,74.35,76,38,15.39,MU,2021-06-03 23:00:18
153,Namibe,-15.1961,12.1522,70.63,78,16,5.84,AO,2021-06-03 23:00:18
154,Hilo,19.7297,-155.09,88.29,79,16,4.0,US,2021-06-03 22:59:57
155,Fortuna,40.5982,-124.1573,90.48,81,75,5.01,US,2021-06-03 23:00:18
156,Dawson Creek,55.7666,-120.2362,70.59,31,0,14.74,CA,2021-06-03 23:00:19
157,Bambous Virieux,-20.3428,57.7575,74.21,75,43,16.89,MU,2021-06-03 23:00:19
158,Muros,42.7762,-9.0603,52.3,83,22,6.49,ES,2021-06-03 23:00:19
159,Pedernales,18.0384,-71.744,83.64,62,82,14.94,DO,2021-06-03 23:00:20
160,Ayan,56.45,138.1667,38.35,96,100,9.55,RU,2021-06-03 23:00:20
161,Ordynskoye,54.3656,81.8994,51.46,74,80,6.06,RU,2021-06-03 23:00:21
162,Tiksi,71.6872,128.8694,32.0,93,100,4.59,RU,2021-06-03 23:00:21
163,Torbay,47.6666,-52.7314,62.28,74,62,8.32,CA,2021-06-03 23:00:21
164,Pierre,44.3683,-100.351,88.05,26,43,8.01,US,2021-06-03 23:00:21
165,Vanavara,60.34,102.2797,57.09,84,100,5.5,RU,2021-06-03 23:00:22
166,Oranjemund,-28.55,16.4333,65.39,40,0,9.22,NA,2021-06-03 23:00:22
167,Barrow,71.2906,-156.7887,33.82,75,90,20.71,US,2021-06-03 23:00:22
168,Rawlins,41.7911,-107.2387,82.33,11,6,7.74,US,2021-06-03 23:00:23
169,East London,-33.0153,27.9116,58.06,67,84,3.47,ZA,2021-06-03 23:00:23
170,Mandalgovi,45.7625,106.2708,50.94,63,0,3.91,MN,2021-06-03 23:00:23
171,Abu Dhabi,24.4667,54.3667,87.82,84,0,7.65,AE,2021-06-03 22:57:48
172,Cobh,51.8572,-8.2992,52.11,89,75,5.99,IE,2021-06-03 23:00:23
173,Chik,54.9928,82.4311,50.18,87,0,6.31,RU,2021-06-03 23:00:24
174,Necochea,-38.5473,-58.7368,57.04,80,76,15.23,AR,2021-06-03 23:00:24
175,Emet,39.343,29.2585,47.28,89,36,2.68,TR,2021-06-03 23:00:24
176,Paamiut,61.994,-49.6678,36.18,72,23,11.45,GL,2021-06-03 23:00:25
177,Ilulissat,69.2167,-51.1,37.42,75,91,10.36,GL,2021-06-03 23:00:25
178,Bara,10.3744,10.7288,75.9,66,60,11.56,NG,2021-06-03 23:00:25
179,Portland,45.5234,-122.6762,86.41,49,0,1.99,US,2021-06-03 22:58:15
180,Camocim,-2.9022,-40.8411,79.16,78,10,11.79,BR,2021-06-03 23:00:26
181,Hamilton,39.1834,-84.5333,70.88,93,90,1.01,US,2021-06-03 22:56:25
182,Gat,31.61,34.7642,68.68,72,23,1.99,IL,2021-06-03 23:00:26
183,Ouadda,8.0777,22.4007,68.92,91,100,3.6,CF,2021-06-03 23:00:26
184,Cuenca,-2.8833,-78.9833,58.53,81,64,5.86,EC,2021-06-03 23:00:27
185,Filadelfia,39.9523,-75.1638,78.06,79,90,1.99,US,2021-06-03 22:57:21
186,Seoul,37.5683,126.9778,58.57,91,75,4.52,KR,2021-06-03 22:59:39
187,Panama City,8.9936,-79.5197,84.43,80,75,9.22,PA,2021-06-03 22:56:38
188,Pisco,-13.7,-76.2167,64.02,82,74,8.28,PE,2021-06-03 23:00:27
189,Shar,49.5886,81.0453,62.31,83,39,5.01,KZ,2021-06-03 23:00:28
190,Quesnel,52.9999,-122.5029,73.9,35,1,3.44,CA,2021-06-03 22:59:11
191,Faya,18.3851,42.4509,69.24,13,17,7.78,SA,2021-06-03 23:00:28
192,Lubbock,33.6001,-101.8338,80.38,46,97,5.86,US,2021-06-03 23:00:28
193,Taoudenni,22.6783,-3.9836,101.23,12,65,13.6,ML,2021-06-03 23:00:29
194,Kushiro,42.975,144.3747,55.17,97,100,18.39,JP,2021-06-03 23:00:29
195,Geraldton,-28.7667,114.6,46.81,93,0,10.45,AU,2021-06-03 23:00:29
196,Chernyshevskiy,63.0128,112.4714,65.75,42,96,5.35,RU,2021-06-03 23:00:29
197,Malakal,9.5334,31.6605,77.59,72,74,2.68,SS,2021-06-03 23:00:30
198,Khanpur,28.6453,70.6567,88.07,48,59,4.0,PK,2021-06-03 23:00:30
199,Vangaindrano,-23.35,47.6,67.23,95,74,5.21,MG,2021-06-03 23:00:30
200,Tayoltita,24.0833,-105.9333,80.15,51,78,3.58,MX,2021-06-03 23:00:31
201,Diapaga,12.0708,1.7889,88.97,39,8,9.22,BF,2021-06-03 23:00:31
202,Kaitangata,-46.2817,169.8464,49.35,83,100,3.74,NZ,2021-06-03 23:00:31
203,Bosaso,11.2842,49.1816,90.23,47,99,14.18,SO,2021-06-03 23:00:31
204,Georgiyevka,43.0369,74.7114,71.64,46,40,8.19,KZ,2021-06-03 23:00:32
205,Port Alfred,-33.5906,26.891,56.37,65,47,4.43,ZA,2021-06-03 23:00:32
206,Jumla,29.2747,82.1838,52.74,85,0,3.51,NP,2021-06-03 23:00:33
